"   ";"CASEWHENSUBSTR(ART.TXT_ISSN_IS"
"288";" 020-8132"
"289";"1414-7378"
"290";"0882-0287"
"291";"0039-128X"
"292";"0039-7857"
"293";"0167-739X"
"294";"1518-2819"
"295";"0954-3007"
"296";"0001-4966"
"297";"0264-8172"
"298";"1678-5304"
"299";"0327-0300"
"300";"0101-4838"
"301";"0250-3980"
"302";"1519-1834"
"303";"1679-9259"
"304";"1678-8621"
"305";"0871-9187"
"306";"1450-1147"
"307";"1165-6638"
"308";"0362-028X"
"309";"1519-3306"
"310";"1678-7234"
"311";"1517-8471"
"312";"1679-4427"
"313";"0019-0810"
"314";"1867-4828"
"315";"1806-700X"
"316";"1517-6738"
"317";"1516-3687"
"318";"1508-1109"
"319";"1085-3375"
"320";"0016-6480"
"321";"1679-415X"
"322";"1983-9774"
"323";"0733-8724"
"324";"1984-7742"
"325";"1059-5422"
"326";"1676-9201"
"327";"0949-944X"
"328";"0967-0645"
"329";"1726-4634"
"330";"0017-1050"
"331";"1679-8775"
"332";"1516-2095"
"333";"1525-3163"
"334";"1089-7801"
"335";"2136-5004"
"336";"1808-6276"
"337";"1389-9457"
"338";"0024-1164"
"339";"1415-4703"
"340";"0948-695X"
"341";"1808-107X"
"342";"1445-4408"
"343";"0366-1644"
"344";"0103-5665"
"345";"1808-5563"
"346";"0300-922X"
"347";"0967-3334"
"348";"0948-6968"
"349";"1139-6709"
"350";"1741-0401"
"351";"0047-2484"
"352";"0969-5990"
"353";"1413-8638"
"354";"0269-5022"
"355";"0040-090"
"356";"1815-0395"
"357";"1518-5311"
"358";"0038-4909"
"359";"1351-5101"
"360";"1518-7586"
"361";"0104-6357"
"362";"0022-1147"
"363";"1532-3382"
"364";"1517-3771"
"365";"1519-0552"
"366";"1329-6221"
"367";"  14-3895"
"368";"0875- 019"
"369";"1676-5818"
"370";"1025-8973"
"371";"1676-6628"
"372";"0340-5761"
"373";"2236-7284"
"374";"0101-3505"
"375";"1548-5897"
"376";"1679-849X"
"377";"1806-8561"
"378";"0102-5600"
"379";"0007-1285"
"380";"0256-2419"
"381";"0885-7490"
"382";"1677-535X"
"383";"1519-8634"
"384";"0007-1161"
"385";"1579-6582"
"386";"0145-305X"
"387";"1478-6419"
"388";"1024-2953"
"389";"0009-2673"
"390";"8587-661X"
"391";"0037-9727"
"392";"0967-0262"
"393";"0141-6421"
"394";"1678-5029"
"395";"0262-8856"
"396";"1007-5704"
"397";"2255-4971"
"398";"0904-2512"
"399";"1679-8074"
"400";"0020-7160"
"401";"1432-0738"
"402";"1678-2313"
"403";"1517-5316"
"404";"0100-607X"
"405";"1678-2852"
"406";"2447-8156"
"407";"1744-5205"
"408";"0104-6438"
"409";"1414-5235"
"410";"0065-3438"
"411";"0010-440X"
"412";"1519-1109"
"413";"1413-9421"
"414";"1502-1149"
"415";"0025-5645"
"416";"1808-0367"
"417";"0022-0833"
"418";"1522-7235"
"419";"0300-9440"
"420";"0017-8470"
"421";"1476-1785"
"422";"1303-0868"
"423";"0923-2958"
"424";"0019-493X"
"425";"1677-874X"
"426";"1751-4991"
"427";"1138-7416"
"428";"0959-4973"
"429";"1470-1626"
"430";"1552-4922"
"431";"1678-1872"
"432";"7100-4009"
"433";"1517-6428"
"434";"1677-5449"
"435";"1676-322X"
"436";"1680-5593"
"437";"1405-367K"
"438";"0114-2862"
"439";"1519-9665"
"440";"0860-8229"
"441";"1476-7430"
"442";"1808-1304"
"443";"0169-8095"
"444";"2456-8899"
"445";"0083-8969"
"446";"1540-6709"
"447";"1566-0621"
"448";"1519-9452"
"449";"1679-0863"
"450";"0162-3109"
"451";"1077-594"
"452";"0148-7043"
"453";"0010-2571"
"454";"1519-0781"
"455";"1522-0613"
"456";"0094-582X"
"457";"0001-6772"
"458";"1813-1867"
"459";"1981-2841"
"460";"104 -3773"
"461";"1359-0987"
"462";"1464-4207"
"463";"1413-7053"
"464";"1517-9915"
"465";"0103-1414"
"466";"1806-4310"
"467";"1518-9015"
"468";"1678-5258"
"469";"1679-6837"
"470";"0212-6982"
"471";"1356-3475"
"472";"1808-3536"
"473";"0008-5472"
"474";"1749-8457"
"475";"1561-0713"
"476";"1809-5046"
"477";"0914-9465"
"478";"1096-7168"
"479";"1729-7419"
"480";"1518-743"
"481";"1422-6383"
"482";"1023-0076"
"483";"1518-9325"
"484";"1050-6438"
"485";"1676-6016"
"486";"2238-5614"
"487";"1980-8607"
"488";"1556-3758"
"489";"0101-7283"
"490";"2090-4649"
"491";"2316-3690"
"492";"0104-2777"
"493";"1808-2270"
"494";"1414-7327"
"495";"0020-6539"
"496";"1809-111T"
"497";"   2-2002"
"498";"1518-6369"
"499";"0166-6584"
"500";"1980-2269"
"501";"1413-4543"
"502";"1983-9324"
"503";"1646-401X"
"504";"1576-0952"
"505";"0812-0099"
"506";"1414-4298"
"507";"1808-2750"
"508";"1519-7727"
"509";"1570-8683"
"510";"1669-3582"
"511";"1806-7085"
"512";"0328-3534"
"513";"1678-7722"
"514";"1697-218X"
"515";"1470-5958"
"516";"1553-9628"
"517";"0181-1568"
"518";"0047-2425"
"519";"8586-6405"
"520";"1660-3397"
"521";"1519-2407"
"522";"0304-324X"
"523";"1678-9725"
"524";"0953-5438"
"525";"1130-9903"
"526";"1518-8876"
"527";"1409-3871"
"528";"1679-6233"
"529";"1518-7470"
"530";"0103-8508"
"531";"1518-3416"
"532";"1518-188X"
"533";"0717-7704"
"534";"0895-0172"
"535";"1517-3704"
"536";"1569-190X"
"537";"  14-1580"
"538";"0103-3336"
"539";"1677-6704"
"540";"0004-9573"
"541";"1678-4596"
"542";"0033-8230"
"543";"1741-9174"
"544";"1070-485X"
"545";"1809-7588"
"546";"0144-3577"
"547";"2666-920X"
"548";"0387-3870"
"549";"0399-6441"
"550";"1519-4922"
"551";"1744-2710"
"552";"0141-5613"
"553";"2236-1170"
"554";"0379-5721"
"555";"1984-0470"
"556";"0097-4943"
"557";"1526-8209"
"558";"1808-1355"
"559";"0123-885X"
"560";"1526-1492"
"561";"1645-5983"
"562";"1460-8081"
"563";"2179-1112"
"564";"1462-8910"
"565";"1808-8090"
"566";"1413-6902"
"567";"1522-1490"
"568";"1099-1859"
"569";"2176-9206"
"570";"0024-4082"
"571";"1748-0272"
"572";"0301-6226"
"573";"1519-6224"
"574";"0178-515X"
"575";"0015-8208"
"576";"1002-1465"
"577";"1076-0512"
"578";"1543-3633"
"579";"0101-7187"
"580";"0278-6826"
"581";"1087-2914"
"582";"1676-1677"
"583";"1809-2942"
"584";"0100-7253"
"585";"1806-2008"
"586";"1221-2121"
"587";"1131-5598"
"588";"1440-1835"
"589";"1547-5905"
"590";"0102-4000"
"591";"1351-0754"
"592";"  11-1000"
"593";"1678-0965"
"594";"1677-4027"
"595";"1639-4488"
"596";"1679-1049"
"597";"1415-5613"
"598";"0102-7956"
"599";"0957-154X"
"600";"1473-0928"
"601";"0104-3774"
"602";"0102-9398"
"603";"0951-3590"
"604";"1808-8902"
