"   ";"CASEWHENSUBSTR(ART.TXT_ISSN_IS"
"12603";"1750-4813"
"12604";"1984-5870"
"12605";"2281-0668"
"12606";"2072-0939"
"12607";"0149-2063"
"12608";"0366-3272"
"12609";"1573-0697"
"12610";"2317-3963"
"12611";"0100-8504"
"12612";"0096-2244"
"12613";"2222-333X"
"12614";"2176-845X"
"12615";"2006-9863"
"12616";"2328-8752"
"12617";"1676-2535"
"12618";"1581-824X"
"12619";"1862-1783"
"12620";"2007-8080"
"12621";"1439-7617"
"12622";"2318-1494"
"12623";"2177-2614"
"12624";"2238-6602"
"12625";"1995-2899"
"12626";"1887-2360"
"12627";"1981-2528"
"12628";"2316-8676"
"12629";"2013-0008"
"12630";"8856-1593"
"12631";"9788-5662"
"12632";"2321-8045"
"12633";"1516-1367"
"12634";"1851-3034"
"12635";"1810-522X"
"12636";"2358-1409"
"12637";"0386-9709"
"12638";"1888-4008"
"12639";"1667-6097"
"12640";"2317-983X"
"12641";"2316-2546"
"12642";"2314-5080"
"12643";"0122-297X"
"12644";"2675-3499"
"12645";"1314-3465"
"12646";"0718-2723"
"12647";"2318-4221"
"12648";"1405-0040"
"12649";"1409-0031"
"12650";"2299-1174"
"12651";"2391-7457"
"12652";"1573-0638"
"12653";"2318-1828"
"12654";"2596-3481"
"12655";"2322-6560"
"12656";"2277-3554"
"12657";"9786-0760"
"12658";"2281-5007"
"12659";"6150-050X"
"12660";"1809-7409"
"12661";"2044-5040"
"12662";"1983-5603"
"12663";"2164-3059"
"12664";"2007-0507"
"12665";"0819-4823"
"12666";"0377-7316"
"12667";"2154-1280"
"12668";"2051-8218"
"12669";"1540-3416"
"12670";"2326-1064"
"12671";"0774-5141"
"12672";"2317-448X"
"12673";"2176-7030"
"12674";"2312-3179"
"12675";"2317-3971"
"12676";"2316-326X"
"12677";"2090-5718"
"12678";"1676-5816"
"12679";"2318-6569"
"12680";"1601-1868"
"12681";"1573-6792"
"12682";"2320-3331"
"12683";"2526-4036"
"12684";"2317-1375"
"12685";"1667-5290"
"12686";"2311-5637"
"12687";"1853-7316"
"12688";"1678-0578"
"12689";"0374-1001"
"12690";"2313-591X"
"12691";"1369-5762"
"12692";"2675-0260"
"12693";"1957-6668"
"12694";"2318-8006"
"12695";"2448-2722"
"12696";"0719-4153"
"12697";"2318-518X"
"12698";"2319-9202"
"12699";"2448-3052"
"12700";"9771-9820"
"12701";"2046-1682"
"12702";"2158-9100"
"12703";"1225-1763"
"12704";"1989-5879"
"12705";"1948-5204"
"12706";"2179-524X"
"12707";"1460-4411"
"12708";"2448-0657"
"12709";"2328-8248"
"12710";"2115-6394"
"12711";"2359-1145"
"12712";"2324-8955"
"12713";"2999-999X"
"12714";"2327-7519"
"12715";"2102-5541"
"12716";"2158-2041"
"12717";"1932-9261"
"12718";"0974-7761"
"12719";"2164-0181"
"12720";"0126-2807"
"12721";"2177-7313"
"12722";"2471-2531"
"12723";"1534-6250"
"12724";"1541-0331"
"12725";"2318-4906"
"12726";"2151-2820"
"12727";"0013-1253"
"12728";"2237-8081"
"12729";"2326-7011"
"12730";"2317-256X"
"12731";"1026-0226"
"12732";"1850-9827"
"12733";"1455-4178"
"12734";"0208-6336"
"12735";"2053-5295"
"12736";"2326-8999"
"12737";"9788-581X"
"12738";"2317-5117"
"12739";"2090-4304"
"12740";"1133-0627"
"12741";"2073-445X"
"12742";"1726-9822"
"12743";"1123-5519"
"12744";"2231-0770"
"12745";"2166-6741"
"12746";"1983-8963"
"12747";"1008-4435"
"12748";"1593-5760"
"12749";"0016-7282"
"12750";"1985-143X"
"12751";"1797-2442"
"12752";"1805-7306"
"12753";"2010-0368"
"12754";"2949-6705"
"12755";"2763-9339"
"12756";"2372-4293"
"12757";"1734-9168"
"12758";"2039-4772"
"12759";"2090-3006"
"12760";"1796-2865"
"12761";"2317-756X"
"12762";"2318-3608"
"12763";"1573-1626"
"12764";"1839-1176"
"12765";"1441-3523"
"12766";"1752-6299"
"12767";"1475-4762"
"12768";"1678-449X"
"12769";"9999-888X"
"12770";"2117-3726"
"12771";"1051-743X"
"12772";"1851-9008"
"12773";"2356-3819"
"12774";"2216-1201"
"12775";"2160-9918"
"12776";"2254-1632"
"12777";"2278-5485"
"12778";"2317-2851"
"12779";"2318-5783"
"12780";"2318-7980"
"12781";"2165-7866"
"12782";"1562-126X"
"12783";"2306-6328"
"12784";"1952-6451"
"12785";"2177-9073"
"12786";"2167-9843"
"12787";"1793-0561"
"12788";"1573-3610"
"12789";"1980-5851"
"12790";"1556-4029"
"12791";"2318-5600"
"12792";"2157-6254"
"12793";"2160-0635"
"12794";"2397-0116"
"12795";"0160-9513"
"12796";"2318-2528"
"12797";"2447-9144"
"12798";"1600-0404"
"12799";"0004-9158"
"12800";"2316-6347"
"12801";"2317-577X"
"12802";"2222-222X"
"12803";"2177-9288"
"12804";"0120-4698"
"12805";"1234-987X"
"12806";"2321-9114"
"12807";"1064-2277"
"12808";"2222-3959"
"12809";"2042-6747"
"12810";"0145-3432"
"12811";"2167-0277"
"12812";"1571-8182"
"12813";"2322-1836"
"12814";"1869-1951"
"12815";"2560-4612"
"12816";"2238-0671"
"12817";"0394-6320"
"12818";"1873-4294"
"12819";"1993-9928"
"12820";"1320-2340"
"12821";"2309-5792"
"12822";"1552-6127"
"12823";"2311-4746"
"12824";"2319-0302"
"12825";"2177-1219"
"12826";"1179-1926"
"12827";"1945-452X"
"12828";"9331-2012"
"12829";"1947-8569"
"12830";"2317-1804"
"12831";"2177-0963"
"12832";"1983-5185"
"12833";"1519-6986"
"12834";"1947-9301"
"12835";"2318-0218"
"12836";"1519-9613"
"12837";"2348-0386"
"12838";"2046-3707"
"12839";"1646-3188"
"12840";"2090-5750"
"12841";"1172-6156"
"12842";"2318-9320"
"12843";"2318-9886"
"12844";"1414-4426"
"12845";"0717-3473"
"12846";"1569-3759"
"12847";"3106-3187"
"12848";"1599-642X"
"12849";"2359-8220"
"12850";"2394-9408"
"12851";"1543-1916"
"12852";"0023-0561"
"12853";"2318-5120"
"12854";"2179-7528"
"12855";"1414-5419"
"12856";"2178-1532"
"12857";"2270-4957"
"12858";"2211-5684"
"12859";"0174-2442"
"12860";"1570-1824"
"12861";"2325-6621"
"12862";"7892-0090"
"12863";"1947-573X"
"12864";"2007-5719"
"12865";"1899-4741"
"12866";"2226-9649"
"12867";"1620-3887"
"12868";"0975-8216"
"12869";"1909-2458"
"12870";"1982-7886"
"12871";"9781-8972"
"12872";"1712-7882"
"12873";"1809-0859"
"12874";"0213-3628"
"12875";"1477-7029"
"12876";"1179-1500"
"12877";"0143-7838"
"12878";"1416-358X"
"12879";"1598-6446"
"12880";"1314-7471"
"12881";"0224-2002"
"12882";"2214-7500"
"12883";"1572-9079"
"12884";"0102-9482"
"12885";"2357-8688"
"12886";"1984-9060"
"12887";"2311-8717"
"12888";"1365-2516"
"12889";"2167-0897"
"12890";"2013-2115"
"12891";"2318-9487"
"12892";"1822-4695"
"12893";"2163-9442"
"12894";"1510-8795"
"12895";"2322-9411"
"12896";"0201-6720"
"12897";"1677-2505"
"12898";"1981-4798"
"12899";"0009-9103"
"12900";"2467-6663"
"12901";"2227-7390"
"12902";"2236-4668"
"12903";"1797-318X"
"12904";"2238-3123"
"12905";"1750-4538"
"12906";"2333-116X"
"12907";"2312-1874"
"12908";"0010-3846"
"12909";"2179-3263"
"12910";"2158-8724"
"12911";"0975-914X"
"12912";"1399-3089"
"12913";"2278-0246"
"12914";"2305-3725"
"12915";"2333-9705"
"12916";"1759-507X"
"12917";"2053-9738"
"12918";"2281-7549"
"12919";"1873-7617"
"12920";"2310-7502"
"12921";"2319-2844"
"12922";"1887-3987"
"12923";"1468-2370"
"12924";"1943-5436"
"12925";"2118-3381"
"12926";"2327-4379"
"12927";"2007-2708"
"12928";"9782-7427"
"12929";"2211-2855"
"12930";"0103-2402"
"12931";"1447-0229"
"12932";"0896-9205"
"12933";"9788-5855"
"12934";"0121-7712"
"12935";"2317-7489"
"12936";"1424-1250"
"12937";"2318-9444"
"12938";"2042-7816"
"12939";"1572-8773"
"12940";"2357-6715"
"12941";"0379-1629"
"12942";"1869-8433"
"12943";"1879-1026"
"12944";"1982-4217"
"12945";"1832-4273"
"12946";"2322-6331"
"12947";"1409-1525"
"12948";"1668-6365"
"12949";"1929-6088"
"12950";"1168-1489"
"12951";"9788-7764"
"12952";"2319-1236"
"12953";"9788-5726"
"12954";"0203-1726"
"12955";"0249-3047"
"12956";"2358-0623"
"12957";"1220-0271"
"12958";"1554-8120"
"12959";"1723-8426"
"12960";"2105-0821"
"12961";"2212-4268"
"12962";"1925-7074"
"12963";"1984-3994"
"12964";"2013-1212"
"12965";"2314-5714"
"12966";"2038-9698"
"12967";"1755-9340"
"12968";"1365-4926"
"12969";"1742-8149"
"12970";"2358-3908"
"12971";"1092-874X"
"12972";"1728-2209"
"12973";"1582-165X"
"12974";"2358-0062"
"12975";"2007-0373"
"12976";"2313-9676"
"12977";"1314-8060"
"12978";"1692-4959"
"12979";"2311-7915"
"12980";"2111-8817"
"12981";"2237-2392"
"12982";"1317-973X"
"12983";"1945-8959"
"12984";"2357-9684"
"12985";"2309-9826"
"12986";"1662-3592"
"12987";"1533-0389"
"12988";"2278-6074"
"12989";"2222-2154"
"12990";"2251-9149"
"12991";"2182-4916"
"12992";"2318-3152"
"12993";"1997-4043"
"12994";"0071-5793"
"12995";"2161-0517"
"12996";"2317-5608"
"12997";"2328-501X"
"12998";"2250-4524"
"12999";"2314-596X"
"13000";"2358-0666"
"13001";"1399-3054"
"13002";"2052-0360"
"13003";"2349-2058"
"13004";"2047-0622"
"13005";"2328-5699"
"13006";"1993-3738"
"13007";"2011-2734"
"13008";"2317-8280"
"13009";"1699-6712"
"13010";"2226-4450"
"13011";"1980-775X"
"13012";"0719-1790"
"13013";"1727-0634"
"13014";"1628-3130"
"13015";"0010-8341"
"13016";"1224-7928"
"13017";"0103-2057"
"13018";"2007-7440"
"13019";"2048-9803"
"13020";"0272-2011"
"13021";"1557-8518"
"13022";"1870-5650"
"13023";"2254-1608"
"13024";"7854-216X"
"13025";"1980-2071"
"13026";"0870-080X"
"13027";"2317-3713"
"13028";"0326-4823"
"13029";"1745-6605"
"13030";"2321-3558"
"13031";"0102-4696"
"13032";"1224-9173"
"13033";"2313-2868"
"13034";"2357-9878"
"13035";"1909-4884"
"13036";"1792-748X"
"13037";"1874-8953"
"13038";"2254-8718"
"13039";"1811-9719"
"13040";"1572-9672"
"13041";"2045-1377"
"13042";"2077-6624"
"13043";"9788-579X"
"13044";"2249-2340"
"13045";"0974-5157"
"13046";"1983-9031"
"13047";"1463-001X"
"13048";"1017-1662"
"13049";"3506-0980"
"13050";"2214-3912"
"13051";"2446-9416"
"13052";"1751-7192"
"13053";"1132-192X"
"13054";"2356-6833"
"13055";"2358-1174"
"13056";"2484-8805"
"13057";"2044-2831"
"13058";"2190-4707"
"13059";"1563-5260"
"13060";"2281-1605"
"13061";"2317-8952"
"13062";"1980-6891"
"13063";"2367-4806"
"13064";"2177-8030"
"13065";"1853-0494"
"13066";"9999-6666"
"13067";"2167-5872"
"13068";"2160-9837"
"13069";"1938-5463"
"13070";"2373-9258"
"13071";"1676-7157"
"13072";"5199-940X"
"13073";"8972-5004"
"13074";"2070-0245"
"13075";"1816-0498"
"13076";"2278-5299"
"13077";"0717-9022"
"13078";"2277-6850"
"13079";"2335-1535"
"13080";"1517-1276"
"13081";"0135-3506"
"13082";"2359-5582"
"13083";"2374-5134"
"13084";"2317-0557"
"13085";"1889-724X"
"13086";"0040-8719"
"13087";"1729-3901"
"13088";"2358-2847"
"13089";"0334-6455"
"13090";"1984-6789"
"13091";"1838-3499"
"13092";"1366-5847"
"13093";"0102-4909"
"13094";"0972-558X"
"13095";"1887-5193"
"13096";"1521-0758"
"13097";"1028-9925"
"13098";"2357-8454"
"13099";"0101-9073"
"13100";"2595-9034"
"13101";"0120-7717"
"13102";"1226-6027"
"13103";"2358-7008"
"13104";"1983-7228"
"13105";"0141-6790"
"13106";"9786-0702"
"13107";"1783-1474"
"13108";"2157-3689"
"13109";"2179-0664"
"13110";"2358-7083"
"13111";"0028-8446"
"13112";"0203-1716"
"13113";"2393-0615"
"13114";"2236-2461"
"13115";"0793-5333"
"13116";"2236-6676"
"13117";"2056-4864"
"13118";"2349-5340"
"13119";"2384-9045"
"13120";"1665-8027"
"13121";"1976-6300"
"13122";"0379-4350"
"13123";"2434-3683"
"13124";"2376-9394"
"13125";"1557-5977"
"13126";"2317-8302"
"13127";"2348-3172"
"13128";"0740-7510"
"13129";"2322-6900"
"13130";"1061-8309"
"13131";"1533-7995"
"13132";"1563-1851"
"13133";"1678-6102"
"13134";"2329-5872"
"13135";"0885-8608"
"13136";"0870-6581"
"13137";"2352-0949"
"13138";"2348-2915"
"13139";"1980-7451"
"13140";"1984-5298"
"13141";"2159-4952"
"13142";"1918-9354"
"13143";"2347-5374"
"13144";"2316-7483"
"13145";"1981-168X"
"13146";"1659-4142"
"13147";"2321-5658"
"13148";"2030-6318"
"13149";"2303-3136"
"13150";"0193-7913"
"13151";"2359-0831"
"13152";"2333-9128"
"13153";"2007-3011"
"13154";"2358-6826"
"13155";"1847-3423"
"13156";"2095-6231"
"13157";"1755-1676"
"13158";"2159-8371"
"13159";"2168-5533"
"13160";"0003-0678"
"13161";"2354-2222"
"13162";"1931-0539"
"13163";"2346-3783"
"13164";"1980-3552"
"13165";"2231-5454"
"13166";"2177-8884"
"13167";"2358-8276"
"13168";"1746-5729"
"13169";"1688-4093"
"13170";"2376-5968"
"13171";"2376-0214"
"13172";"1659-2761"
"13173";"0210-1874"
"13174";"0871-0759"
"13175";"1825-3113"
"13176";"1655-7075"
"13177";"2374-2402"
"13178";"2358-8764"
"13179";"9788-5683"
"13180";"1984-2257"
"13181";"1431-5254"
"13182";"2352-2895"
"13183";"1600-0676"
"13184";"2764-0973"
"13185";"1390-1656"
"13186";"2198-5928"
"13187";"2222-999X"
"13188";"1793-6616"
"13189";"2312-122X"
"13190";"1412-2014"
"13191";"1862-9679"
"13192";"2238-0108"
"13193";"9597-1362"
"13194";"2176-9523"
"13195";"1350-5076"
"13196";"3258-329X"
"13197";"1988-2475"
"13198";"3073-373X"
"13199";"1885-3050"
"13200";"2314-3738"
"13201";"1984-9761"
"13202";"2358-9620"
"13203";"1580-3155"
"13204";"2595-279X"
"13205";"1697-829X"
"13206";"1938-3703"
"13207";"0257-1439"
"13208";"2526-3269"
"13209";"1984-6630"
"13210";"2359-1668"
"13211";"2341-0477"
"13212";"1984-1384"
"13213";"1809-2012"
"13214";"1816-6970"
"13215";"2316-6061"
"13216";"0155-9982"
"13217";"2619-0639"
"13218";"2200-0011"
"13219";"2362-2911"
"13220";"1316-0353"
"13221";"1973-1579"
"13222";"1384-6299"
"13223";"2152-0534"
"13224";"1549-3174"
"13225";"0009-3083"
"13226";"2158-107X"
"13227";"1532-7913"
"13228";"2278-344X"
"13229";"2318-2539"
"13230";"2236-9013"
"13231";"2358-1131"
"13232";"2035-2948"
"13233";"2594-8768"
"13234";"2117-8116"
"13235";"6150-9164"
"13236";"1418-1015"
"13237";"1938-2928"
"13238";"0963-8024"
"13239";"0288-0180"
"13240";"2044-205X"
"13241";"1516-318X"
"13242";"2194-1459"
"13243";"2039-2206"
"13244";"1712-9788"
"13245";"2192-5283"
"13246";"0006-0000"
"13247";"2168-6408"
"13248";"0264-0198"
"13249";"2153-5515"
"13250";"0033-4952"
"13251";"2172-3117"
"13252";"1851-4979"
"13253";"0213-375X"
"13254";"2448-0924"
"13255";"0917-3803"
"13256";"0033-3565"
"13257";"2575-2591"
"13258";"2176-503X"
"13259";"2199-3793"
"13260";"2359-3725"
"13261";"1315-0359"
"13262";"0105-6301"
"13263";"2223-3733"
"13264";"2237-6448"
"13265";"2217-8095"
"13266";"2340-8316"
"13267";"1310-5132"
"13268";"2674-7081"
"13269";"2211-3797"
"13270";"1468-0874"
"13271";"2154-9656"
"13272";"1993-5269"
"13273";"2446-6735"
"13274";"2301-1483"
"13275";"1866-9964"
"13276";"3695-6000"
"13277";"2117-931X"
"13278";"2237-1826"
"13279";"0141-3609"
"13280";"1908-6271"
"13281";"1466-8238"
"13282";"1807-3760"
"13283";"2357-9447"
"13284";"1984-1084"
"13285";"2313-9862"
"13286";"1982-1014"
"13287";"9788-575X"
"13288";"1563-5341"
"13289";"2318-4876"
"13290";"2214-7519"
"13291";"2358-9299"
"13292";"2311-2751"
"13293";"1579-1583"
"13294";"8530-913X"
"13295";"1923-0265"
"13296";"2318-0662"
"13297";"2215-9487"
"13298";"1590-4415"
"13299";"1929-6355"
"13300";"2525-460X"
"13301";"1992-1662"
"13302";"0120-2012"
"13303";"1678-416X"
"13304";"2349-056X"
"13305";"2320-7221"
"13306";"1610-6040"
"13307";"2354-2128"
"13308";"2359-5272"
"13309";"2332-4139"
"13310";"2349-9761"
"13311";"1556-2654"
"13312";"2574-1525"
"13313";"1753-1330"
"13314";"2007-7033"
"13315";"1851-2429"
"13316";"2359-4489"
"13317";"1429-7507"
"13318";"0736-0053"
"13319";"1834-3287"
"13320";"2016-7122"
"13321";"1526-8587"
"13322";"1983-5313"
"13323";"1871-4528"
"13324";"1339-1342"
"13325";"2446-7375"
"13326";"1575-6343"
"13327";"1694-2639"
"13328";"0031-4331"
"13329";"1563-5104"
"13330";"2358-1379"
"13331";"1983-1569"
"13332";"1557-2528"
"13333";"2149-2018"
"13334";"1986-4450"
"13335";"2500-4297"
"13336";"2362-583X"
"13337";"2579-2534"
"13338";"2344-4118"
"13339";"1937-2426"
"13340";"1466-0474"
"13341";"0893-0465"
"13342";"1573-076X"
"13343";"1532-8910"
"13344";"1756-297X"
"13345";"2183-0266"
"13346";"2359-5159"
"13347";"1538-4519"
"13348";"0921-7133"
"13349";"1661-3821"
"13350";"0025-6419"
"13351";"0423-4847"
"13352";"2218-6239"
"13353";"2359-3547"
"13354";"2002-0112"
"13355";"1745-456X"
"13356";"1084-7666"
"13357";"1741-9259"
"13358";"2348-3164"
"13359";"2041-4784"
"13360";"1559-7768"
"13361";"2221-4550"
"13362";"1359-8139"
"13363";"2237-9383"
"13364";"2038-6095"
"13365";"2495-9313"
"13366";"2182-0228"
"13367";"2409-1138"
"13368";"9789-8984"
"13369";"2249-7722"
"13370";"2349-9419"
"13371";"1613-7507"
"13372";"1927-5609"
"13373";"2359-666X"
"13374";"2446-6530"
"13375";"2359-6074"
"13376";"2330-8583"
"13377";"2332-3256"
"13378";"1951-6673"
"13379";"2325-6095"
"13380";"2374-0124"
"13381";"2083-3121"
"13382";"1984-071X"
"13383";"2193-0074"
"13384";"1809-1796"
"13385";"2358-4513"
"13386";"2540-0134"
"13387";"2446-6778"
"13388";"1752-993X"
"13389";"1747-1508"
"13390";"0777-1266"
"13391";"2201-4268"
"13392";"2236-3036"
"13393";"1998-2007"
"13394";"1234-0103"
"13395";"1632-0514"
"13396";"1125-8861"
"13397";"1538-4500"
"13398";"2446-7413"
"13399";"1676-905X"
"13400";"2348-5213"
"13401";"2446-6565"
"13402";"2055-8260"
"13403";"8794-9765"
"13404";"2329-8863"
"13405";"2360-9494"
"13406";"2378-0722"
"13407";"2561-9009"
"13408";"1472-9474"
"13409";"2457-7472"
"13410";"1561-3046"
"13411";"2446-7278"
"13412";"2239-6009"
"13413";"1270-9131"
"13414";"2358-8756"
"13415";"0354-818X"
"13416";"2192-5690"
"13417";"2183-4350"
"13418";"1133-682X"
"13419";"2550-2459"
"13420";"1077-6958"
"13421";"1958-7856"
"13422";"2575-2650"
"13423";"1979-4974"
"13424";"2192-8312"
"13425";"2238-3901"
"13426";"1017-2015"
"13427";"2177-5588"
"13428";"2237-8472"
"13429";"0329-3807"
"13430";"2358-2049"
"13431";"2369-0569"
"13432";"2194-6000"
"13433";"2525-0922"
"13434";"2595-4733"
"13435";"2358-1689"
"13436";"0122-2856"
"13437";"2317-1768"
"13438";"2357-7970"
"13439";"7366-7008"
"13440";"1930-7799"
"13441";"1758-1117"
"13442";"2196-3053"
"13443";"0719-4234"
"13444";"2345-6841"
"13445";"1415-5931"
"13446";"2160-9500"
"13447";"1552-8316"
"13448";"0190-4600"
"13449";"1808-0449"
"13450";"2380-131X"
"13451";"2446-5151"
"13452";"1529-2916"
"13453";"2319-4006"
"13454";"1558-3910"
"13455";"2164-2818"
"13456";"2446-8886"
"13457";"2347-5541"
"13458";"1435-4933"
"13459";"1528-7068"
"13460";"2175-8699"
"13461";"2196-6293"
"13462";"1678-1618"
"13463";"1559-4963"
"13464";"1552-3829"
"13465";"1533-8916"
"13466";"5505-0237"
"13467";"2179-6639"
"13468";"2358-5307"
"13469";"1473-4893"
"13470";"2213-2759"
"13471";"2422-8419"
"13472";"2254-1756"
"13473";"0025-3987"
"13474";"1037-0196"
"13475";"2196-4386"
"13476";"1794-211X"
"13477";"2191-5040"
"13478";"1735-8515"
"13479";"1688-6763"
"13480";"2327-8579"
"13481";"2395-4205"
"13482";"2327-8595"
"13483";"2032-9024"
"13484";"0975-8089"
"13485";"2205-1885"
"13486";"2349-0063"
"13487";"1644-0692"
"13488";"2281-8618"
"13489";"1105-1663"
"13490";"0653-8051"
"13491";"2448-2269"
"13492";"2300-1941"
"13493";"2447-021X"
"13494";"2175-2552"
"13495";"2176-9016"
"13496";"2712-7672"
"13497";"2454-7352"
"13498";"1647-9068"
"13499";"2015-0406"
"13500";"1777-5345"
"13501";"1615-5270"
"13502";"2349-5103"
"13503";"0718-9273"
"13504";"1068-3674"
"13505";"2675-1909"
"13506";"0391-6081"
"13507";"2358-6532"
"13508";"2471-299X"
"13509";"2178-7564"
"13510";"0035-8665"
"13511";"1091-1710"
"13512";"2447-0880"
"13513";"1515-9299"
"13514";"1749-4192"
"13515";"2379-5255"
"13516";"1945-4481"
"13517";"2014-184X"
"13518";"2072-3156"
"13519";"2382-9990"
"13520";"1085-4169"
"13521";"9965-1858"
"13522";"2386-5180"
"13523";"2347-520X"
"13524";"1110-0362"
"13525";"2345-5055"
"13526";"1793-642X"
"13527";"2678-2410"
"13528";"1999-2015"
"13529";"0120-789X"
"13530";"2007-8501"
"13531";"2237-5969"
"13532";"2314-1166"
"13533";"2447-990X"
"13534";"0124-793X"
"13535";"1598-4948"
"13536";"2161-1173"
"13537";"2064-8243"
"13538";"2074-2649"
"13539";"0922-3443"
"13540";"1536-7827"
"13541";"2284-1059"
"13542";"2446-9475"
"13543";"1943-0906"
"13544";"1544-3175"
"13545";"1211-0442"
"13546";"2348-2249"
"13547";"0962-7251"
"13548";"2167-8366"
"13549";"0392-2022"
"13550";"2373-7816"
"13551";"2594-7524"
"13552";"1042-1319"
"13553";"1777-5914"
"13554";"2447-3901"
"13555";"2409-2789"
"13556";"1911-637X"
"13557";"1353-3452"
"13558";"1932-6270"
"13559";"2149-7200"
"13560";"2447-2220"
"13561";"2373-633X"
"13562";"2317-2464"
"13563";"2281-6127"
"13564";"2236-198X"
"13565";"1179-1535"
"13566";"3405-9605"
"13567";"0078-6500"
"13568";"1593-5884"
"13569";"2394-4099"
"13570";"1571-9308"
"13571";"2386-7965"
"13572";"0212-161X"
"13573";"2213-1027"
"13574";"2358-5889"
"13575";"2318-6909"
"13576";"1516-5914"
"13577";"2220-5316"
"13578";"0101-8291"
"13579";"2241-9098"
"13580";"2214-3173"
"13581";"1099-1352"
"13582";"2372-4102"
"13583";"2182-9381"
"13584";"1678-037X"
"13585";"2413-9726"
"13586";"0203-0935"
"13587";"1181-1496"
"13588";"0031-8213"
"13589";"0379-9069"
"13590";"1413-2583"
"13591";"2197-4365"
"13592";"1003-9406"
"13593";"1020-002X"
"13594";"2093-6966"
"13595";"2357-7374"
"13596";"2093-0860"
"13597";"1512-1219"
"13598";"1442-6403"
"13599";"0328-2295"
"13600";"1827-4277"
"13601";"2238-0558"
"13602";"2313-9927"
"13603";"1072-0499"
"13604";"1413-1598"
"13605";"1577-6052"
"13606";"1883-8030"
"13607";"1931-9401"
"13608";"2192-2640"
"13609";"1138-4823"
"13610";"2234-7550"
"13611";"1759-0442"
"13612";"0719-3092"
"13613";"2185-856X"
"13614";"1646-6519"
"13615";"2368-6138"
"13616";"2348-3768"
"13617";"1471-5031"
"13618";"0101-2808"
"13619";"2447-8628"
"13620";"6107-0981"
"13621";"1646-4923"
"13622";"1982-3080"
"13623";"1675-3742"
"13624";"2447-5491"
"13625";"2312-878X"
"13626";"2447-4495"
"13627";"1474-760X"
"13628";"2175-8889"
"13629";"2447-0414"
"13630";"1750-1777"
"13631";"2422-7803"
"13632";"0048-8046"
"13633";"1937-0695"
"13634";"1851-7129"
"13635";"0391-5115"
"13636";"2353-3293"
"13637";"1414-4714"
"13638";"1520-6327"
"13639";"1619-5228"
"13640";"2377-3219"
"13641";"1934-6190"
"13642";"2146-4138"
"13643";"2320-0928"
"13644";"2013-6757"
"13645";"2359-6859"
"13646";"2193-6382"
"13647";"2226-4310"
"13648";"2358-9922"
"13649";"2469-9837"
"13650";"2183-3699"
"13651";"2359-6783"
"13652";"2469-1100"
"13653";"1983-1988"
"13654";"1747-1567"
"13655";"2321-3965"
"13656";"9786-0778"
"13657";"4440-2962"
"13658";"9789-9953"
"13659";"2447-3537"
"13660";"1126-0653"
"13661";"1688-5058"
"13662";"2330-1643"
"13663";"1701-5566"
"13664";"1545-2123"
"13665";"2151-2124"
"13666";"1648-4142"
"13667";"2447-1291"
"13668";"2415-0142"
"13669";"2318-860X"
"13670";"1335-2741"
"13671";"1224-922X"
"13672";"2352-9393"
"13673";"2215-0838"
"13674";"0195-6086"
"13675";"2233-6079"
"13676";"1573-0700"
"13677";"0798-9784"
"13678";"2341-1368"
"13679";"1390-9266"
"13680";"2299-3932"
"13681";"2152-906X"
"13682";"2358-6534"
"13683";"2447-5343"
"13684";"1943-3859"
"13685";"2006-0106"
"13686";"1465-4520"
"13687";"2278-3083"
"13688";"2058-9506"
"13689";"2259-0106"
"13690";"2176-6226"
"13691";"1985-5528"
"13692";"2441-5151"
"13693";"2475-8752"
"13694";"2139-0884"
"13695";"2317-3471"
"13696";"2573-4482"
"13697";"1940-9818"
"13698";"0035-2039"
"13699";"2358-9503"
"13700";"2111-5044"
"13701";"9979-1983"
"13702";"2477-9601"
"13703";"2010-1058"
"13704";"7004-3207"
"13705";"6791-5104"
"13706";"9789-8920"
"13707";"2356-7503"
"13708";"2422-0450"
"13709";"2521-0962"
"13710";"2353-4019"
"13711";"2594-0252"
"13712";"0557-1464"
"13713";"1447-6770"
"13714";"2334-2447"
"13715";"0971-9202"
"13716";"2538-9566"
"13717";"1944-8007"
"13718";"2358-5099"
"13719";"9783-319X"
"13720";"2506-8016"
"13721";"2447-150X"
"13722";"1437-4722"
"13723";"2183-6973"
"13724";"1980-5933"
"13725";"2185-4661"
"13726";"2214-0085"
"13727";"2471-4291"
"13728";"1946-3987"
"13729";"2448-0983"
"13730";"2271-7994"
"13731";"1981-6606"
"13732";"2389-7325"
"13733";"2447-9411"
"13734";"2702-2015"
"13735";"2071-1409"
"13736";"2316-6630"
"13737";"1133-904X"
"13738";"2447-9985"
"13739";"1952-420X"
"13740";"1749-6977"
"13741";"1225-8563"
"13742";"1881-9943"
"13743";"1989-4627"
"13744";"1304-6020"
"13745";"2314-4904"
"13746";"2368-8645"
"13747";"0719-2681"
"13748";"1234-5670"
"13749";"2764-1899"
"13750";"1070-1478"
"13751";"0325-2698"
"13752";"0160-013X"
"13753";"2057-178X"
"13754";"2155-6660"
"13755";"1848-1142"
"13756";"0340-0425"
"13757";"2093-3673"
"13758";"2187-0846"
"13759";"2317-2744"
"13760";"1943-1570"
"13761";"1806-5854"
"13762";"0224-2500"
"13763";"0281-7446"
"13764";"2448-0282"
"13765";"2045-175X"
